,date,open,high,low,close,volume,tic,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,sentiment,VIX,TNX,SPY,QQQ,XLK
1,2020-01-03,108.79,109.83,108.18,108.18,7989799.0,PYPL,1,-0.04442307692308134,111.97014285349871,106.36985714650129,0.0,-66.66666666666666,100.0,109.17,109.17,0.0,0.12429832859211132,-0.04994685621915251,-0.007572545342091619,-0.00916021409138279,-0.011243123491952334
1,2020-01-03,75.94,76.28,75.23,75.74,9062237.0,QCOM,1,-0.03253205128204684,78.515609665441,74.414390334559,0.0,-66.66666666666607,100.0,76.465,76.465,0.0,0.12429832859211132,-0.04994685621915251,-0.007572545342091619,-0.00916021409138279,-0.011243123491952334
1,2020-01-03,77.1,77.48,76.61,77.25,5732362.0,SBUX,1,-0.010096153846163247,78.11139610306788,76.83860389693211,0.0,-66.66666666666217,100.0,77.475,77.475,0.0,0.12429832859211132,-0.04994685621915251,-0.007572545342091619,-0.00916021409138279,-0.011243123491952334
1,2020-01-03,75.09,75.44,74.52,75.19,2062473.0,TMUS,1,-0.009198717948720514,75.97482756057296,74.81517243942703,0.0,-66.66666666666667,100.0,75.395,75.395,0.0,0.12429832859211132,-0.04994685621915251,-0.007572545342091619,-0.00916021409138279,-0.011243123491952334
1,2020-01-03,29.37,30.27,29.13,29.53,270514905.0,TSLA,1,0.01907051282051242,30.307081528017132,27.90291847198287,100.0,66.66666666666666,100.0,29.105,29.105,0.0,0.12429832859211132,-0.04994685621915251,-0.007572545342091619,-0.00916021409138279,-0.011243123491952334
1,2020-01-03,106.74,108.24,106.54,107.06,4637357.0,TXN,1,-0.0323076923076826,109.81646752981726,105.74353247018274,0.0,-66.66666666666667,100.0,107.78,107.78,0.0,0.12429832859211132,-0.04994685621915251,-0.007572545342091619,-0.00916021409138279,-0.011243123491952334
1,2020-01-03,216.16,219.8865,214.55,217.98,1154389.0,VRTX,1,-0.032980769230732676,220.7938939366884,216.63610606331156,0.0,-66.6666666666679,100.0,218.71499999999997,218.71499999999997,0.0,0.12429832859211132,-0.04994685621915251,-0.007572545342091619,-0.00916021409138279,-0.011243123491952334
2,2020-01-06,70.82,72.31,70.57,72.27,125599968.0,AAPL,2,-0.0026216625671509064,72.87881913347996,71.37451419985337,45.37012470151226,-99.99999999999538,100.0,72.12666666666667,72.12666666666667,0.0,-0.01212553999595678,0.012863535831559192,0.00381521495502124,0.006443367654443755,0.002382564996624037
2,2020-01-06,328.29,333.91,328.19,333.71,2277275.0,ADBE,2,-0.015981114486578463,336.0237930644053,330.609540268928,42.86358850954997,0.8658008658000989,34.87719298245481,333.31666666666666,333.31666666666666,0.0,-0.01212553999595678,0.012863535831559192,0.00381521495502124,0.006443367654443755,0.002382564996624037
2,2020-01-06,103.95,104.91,103.38,104.55,2209394.0,ADI,2,-0.09279334180936871,109.17499956070986,102.85166710595678,0.0,-99.99999999999956,100.0,106.01333333333332,106.01333333333332,0.0,-0.01212553999595678,0.012863535831559192,0.00381521495502124,0.006443367654443755,0.002382564996624037
2,2020-01-06,147.37,148.47,147.15,148.34,1463723.0,ADP,2,-0.002660225802117111,148.62432467291,147.99567532708994,40.02668445630608,-24.615384615382627,100.0,148.30999999999997,148.30999999999997,0.0,-0.01212553999595678,0.012863535831559192,0.00381521495502124,0.006443367654443755,0.002382564996624037
2,2020-01-06,195.87,198.55,195.34,198.43,2029007.0,AMGN,2,0.00854159718721803,199.53235971562057,196.20097361771278,53.80530973451355,-21.245059288534673,85.9290780141823,197.86666666666667,197.86666666666667,0.0,-0.01212553999595678,0.012863535831559192,0.00381521495502124,0.006443367654443755,0.002382564996624037
2,2020-01-06,93.0,95.18,93.0,95.14,87918880.0,AMZN,2,0.010227862278711086,96.08264558082843,93.11068775250493,55.56295802798123,62.40000000000159,100.0,94.59666666666668,94.59666666666668,0.0,-0.01212553999595678,0.012863535831559192,0.00381521495502124,0.006443367654443755,0.002382564996624037
2,2020-01-06,26.69,26.95,26.59,26.94,26925470.0,AVGO,2,-0.02125184820108572,28.032346081867388,26.36765391813261,0.0,-92.79279279279264,100.0,27.2,27.2,0.0,-0.01212553999595678,0.012863535831559192,0.00381521495502124,0.006443367654443755,0.002382564996624037
2,2020-01-06,2012.53,2022.14,1997.8,2009.97,436261.0,BKNG,2,-0.8060012497762727,2051.9536872753292,1997.6129793913376,0.0,-88.92733564013683,100.0,2024.7833333333335,2024.7833333333335,0.0,-0.01212553999595678,0.012863535831559192,0.00381521495502124,0.006443367654443755,0.002382564996624037
2,2020-01-06,34.77,34.94,34.69,34.78,20449643.0,CMCSA,2,-0.016377264081896215,35.603363635528886,34.50330303113778,0.0,-91.87817258882981,100.0,35.053333333333335,35.053333333333335,0.0,-0.01212553999595678,0.012863535831559192,0.00381521495502124,0.006443367654443755,0.002382564996624037
2,2020-01-06,265.48,266.87,263.72,266.63,2989321.0,COST,2,0.008460008855365686,266.8126549190084,266.20734508099156,100.0,-78.45934379457762,100.0,266.51,266.51,0.0,-0.01212553999595678,0.012863535831559192,0.00381521495502124,0.006443367654443755,0.002382564996624037
2,2020-01-06,39.19,39.76,39.08,39.74,24913814.0,CSCO,2,-0.014526547509156273,40.56217607230639,39.17115726102694,17.994858611825336,-75.58528428093707,100.0,39.86666666666667,39.86666666666667,0.0,-0.01212553999595678,0.012863535831559192,0.00381521495502124,0.006443367654443755,0.002382564996624037
2,2020-01-06,50.99,51.9,50.98,51.76,9604540.0,GILD,2,0.01054816022181626,51.97093803764887,51.02239529568447,78.54297097324955,58.823529411759615,0.6311992786289822,51.49666666666667,51.49666666666667,0.0,-0.01212553999595678,0.012863535831559192,0.00381521495502124,0.006443367654443755,0.002382564996624037
2,2020-01-06,67.02,69.34,66.99,69.31,50054620.0,GOOGL,2,0.045502067594924256,70.13073506552749,66.33593160113918,84.10336726703183,99.99999999999899,100.0,68.23333333333333,68.23333333333333,0.0,-0.01212553999595678,0.012863535831559192,0.00381521495502124,0.006443367654443755,0.002382564996624037
2,2020-01-06,147.19,147.64,146.44,146.92,3823158.0,HON,2,-0.08018571361904492,150.92021826950685,145.47311506382647,0.0,-100.0,100.0,148.19666666666666,148.19666666666666,0.0,-0.01212553999595678,0.012863535831559192,0.00381521495502124,0.006443367654443755,0.002382564996624037
2,2020-01-06,52.56,53.1,52.33,52.86,20145200.0,INTC,2,-0.02351943015649738,54.04185845705662,52.31814154294338,0.0,-93.22033898304974,100.0,53.18,53.18,0.0,-0.01212553999595678,0.012863535831559192,0.00381521495502124,0.006443367654443755,0.002382564996624037
