,date,open,high,low,close,volume,tic,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,sentiment
16,2020-01-27,211.46,214.39,210.86,213.21,15802069.0,META,16,0.4060892548976369,224.4586890531856,207.13542859387326,53.66094299763612,-47.21717117695306,19.62884917482922,215.79705882352943,215.79705882352943,0.0
16,2020-01-27,152.65,154.76,151.75,153.72,38407009.0,MSFT,16,0.6022893393093511,159.95036691999996,148.4613977858824,51.47888245160194,-20.00057437154254,11.203562621443968,154.2058823529412,154.2058823529412,0.0
16,2020-01-27,53.78,54.6,53.26,54.03,29101465.0,MU,16,0.1549599207721286,58.78063013723605,52.52525221570513,46.98986041451724,-93.08511320633734,6.723245801853267,55.65294117647059,55.65294117647059,0.0
16,2020-01-27,34.6,35.19,34.1,34.29,81666700.0,NFLX,16,0.17872686609005228,35.19871983942619,32.22716251351498,56.046120120207576,112.38427541288645,21.07262283460968,33.712941176470586,33.712941176470586,0.0
16,2020-01-27,5.929,6.029,5.78,5.978,500914200.0,NVDA,16,0.019768435097154757,6.363864384620895,5.831900321261459,47.130114293604564,-87.55427629555842,7.49675481624185,6.097882352941177,6.097882352941177,0.0
16,2020-01-27,48.85,49.16,48.34,48.4,9583087.0,ORCL,16,-0.04610020516393121,51.248092349344226,48.646025297714594,36.273577424429796,-165.57264507836288,34.9398472365127,49.94705882352941,49.94705882352941,0.0
16,2020-01-27,107.28,108.69,107.28,108.09,11532757.0,PG,16,0.3728811371271519,109.28091301473205,103.88379286762091,69.37751116430303,82.44514730162467,4.275490221320837,106.58235294117648,106.58235294117648,0.0
16,2020-01-27,36.13,37.63,35.95,37.2,209476860.0,TSLA,16,0.9327051015713934,40.05284883915422,27.88715116084577,75.25483362304742,81.87416971233041,51.59055583145524,33.97,33.97,0.0
16,2020-01-27,191.28,194.46,190.42,192.89,7962504.0,V,16,1.9062576690087667,202.24542021002986,176.1192856723231,66.5051177241549,42.51011117615787,22.16920499442666,189.18235294117648,189.18235294117648,0.0
16,2020-01-27,34.58,35.53,34.44,35.42,22611450.0,WMT,16,-0.07545269064542026,36.23715143309482,34.85461327278753,40.48339819209907,-96.64820099602679,65.77010876580682,35.54588235294118,35.54588235294118,0.0
16,2020-01-27,49.16,49.39,48.62,48.65,25046066.0,XOM,16,-0.4876750810092929,54.21987125283972,49.0907169824544,15.513658964314985,-192.42215900110642,93.31303610381251,51.65529411764706,51.65529411764706,0.0
17,2020-01-28,75.36,76.76,75.26,76.59,169673272.0,AAPL,17,0.40052892290044895,78.61352519101298,71.18869703120923,62.68050028803442,58.15984915534681,13.560225893176892,74.9011111111111,74.9011111111111,0.0
17,2020-01-28,66.62,66.62,65.56,65.66,9471779.0,ABBV,17,-0.5347693181671787,71.28789865876037,65.52654578568406,30.253677797932312,-176.82815950123367,56.35931846022716,68.40722222222222,68.40722222222222,0.0
17,2020-01-28,50.03,50.85,49.48,50.53,64105625.0,AMD,17,0.3081345543169789,51.939752531263956,46.9308030242916,56.68214898874056,54.42421133623953,3.2793729135695298,49.43527777777778,49.43527777777778,0.0
17,2020-01-28,92.03,92.91,91.5,92.66,60917520.0,AMZN,17,-0.2966909588569848,95.99409659838963,91.95923673494369,41.68075796096645,-147.61822575077696,32.057338455242586,93.97666666666666,93.97666666666666,0.0
17,2020-01-28,26.92,27.41,26.86,27.33,26850950.0,AVGO,17,0.10741651008090258,27.890827690404997,25.50917230959501,50.78062440907703,70.38083703404632,6.283181629479335,26.700000000000003,26.700000000000003,0.0
17,2020-01-28,28.34,28.74,28.27,28.53,43011529.0,BAC,17,-0.2352997228803808,30.86220517180535,28.408905939305768,28.084972268082396,-163.99456521739157,46.66732192860003,29.63555555555556,29.63555555555556,0.0
17,2020-01-28,121.54,122.05,120.3,121.29,3004389.0,CAT,17,-1.2529770397322437,134.79499987253956,121.69055568301599,24.216354039958134,-203.85732874636722,61.363051959365855,128.24277777777777,128.24277777777777,0.0
17,2020-01-28,283.72,284.81,282.43,284.03,1732621.0,COST,17,2.342945407698778,290.4714675666883,261.2807546555338,76.75280093133638,89.41772254055303,36.46977651968628,275.8761111111111,275.8761111111111,0.0
17,2020-01-28,39.51,39.88,39.49,39.72,16065874.0,CSCO,17,0.05068974238201207,41.131350855099626,38.875315811567035,44.55372482922266,-39.32189373578735,12.713690295806037,40.00333333333333,40.00333333333333,0.0
17,2020-01-28,84.08,84.57,83.92,84.19,6590746.0,CVX,17,-0.9043007310340698,92.9454168557658,82.82236092201198,14.957556882024136,-126.54153254462591,62.168232742644555,87.88388888888889,87.88388888888889,0.0
17,2020-01-28,55.51,56.95,55.26,56.52,8260024.0,GE,17,-0.2706565028717094,59.04794643255788,54.9598313452199,46.85918680823436,-65.50932568149189,12.359939240107225,57.00388888888889,57.00388888888889,0.0
17,2020-01-28,71.56,72.2,71.04,72.03,34473060.0,GOOG,17,0.41084948703196744,75.02176939075444,67.25378616480113,65.34736676861826,30.151107863351168,22.104590950676037,71.13777777777779,71.13777777777779,0.0
17,2020-01-28,71.49,72.14,70.93,71.93,32639960.0,GOOGL,17,0.38950738179791244,74.88822629519044,67.35177370480957,64.43117585776668,27.78957554904433,21.868669039834902,71.12,71.12,0.0
17,2020-01-28,199.04,201.98,198.63,200.79,3974857.0,HD,17,1.5610154939651864,204.13032811430656,184.74522744124903,75.33627080430821,95.42547222741722,48.32591671846044,194.4377777777778,194.4377777777778,0.0
17,2020-01-28,124.73,126.51,124.47,125.61,8324331.0,JNJ,17,0.496617393931686,126.55327429030602,120.26783682080507,69.57828741610167,110.2230401822886,1.341782446408685,123.41055555555555,123.41055555555555,0.0
17,2020-01-28,112.73,114.54,112.43,114.08,14520565.0,JPM,17,-0.5277226947662967,119.3572985276394,112.69159036124948,37.89816667808311,-139.44902966763303,33.58269722145914,116.02444444444444,116.02444444444444,0.0
17,2020-01-28,47.49,47.73,47.08,47.11,17006602.0,KO,17,0.3019892058494946,48.462430037812375,44.38979218440985,67.3485187611875,69.24658019703745,28.62962119201121,46.42611111111111,46.42611111111111,0.0
17,2020-01-28,128.83,129.93,128.4,129.35,3074514.0,LLY,17,0.6003550322786566,134.61743982297457,121.17367128813653,65.85681590939373,34.17251512532369,17.72506176971818,127.89555555555555,127.89555555555555,0.0
17,2020-01-28,306.25,310.89,305.03,309.68,3902026.0,MA,17,2.216587111070737,320.55131620177224,285.83312824267216,63.81613891868478,51.45038340226479,15.691163636191863,303.1922222222222,303.1922222222222,0.0
17,2020-01-28,214.47,217.05,211.87,216.11,14492418.0,META,17,0.30742546897755574,224.21875488533888,207.41013400354998,59.34210194391031,-9.508573713942967,1.737361553800584,215.81444444444443,215.81444444444443,0.0
17,2020-01-28,155.14,157.01,154.47,156.73,27844564.0,MSFT,17,0.6157755136506466,160.0446894225184,148.6475327997038,58.65680103021331,50.914806988611,8.151056898397357,154.3461111111111,154.3461111111111,0.0
17,2020-01-28,54.85,55.37,53.87,55.07,19711030.0,MU,17,0.07698413572948937,58.66727778442206,52.57383332668905,51.05136926756134,-45.842906251619475,1.2374519252732454,55.620555555555555,55.620555555555555,0.0
17,2020-01-28,34.59,35.24,34.28,34.85,71653940.0,NFLX,17,0.21070646501720347,35.313965061017235,32.23825716120499,58.95472829694153,133.91193566366704,21.889848381188557,33.77611111111111,33.77611111111111,0.0
17,2020-01-28,6.044,6.204,5.991,6.171,330263320.0,NVDA,17,0.019329869389544285,6.3622767860859994,5.841612102802891,56.024216336395604,15.198910175716748,9.932089440052087,6.101944444444445,6.101944444444445,0.0
17,2020-01-28,48.56,49.31,48.37,49.11,9794998.0,ORCL,17,-0.09340641642707226,51.22298597800591,48.5781251331052,45.07943803073477,-112.47681733881187,28.277343327389413,49.900555555555556,49.900555555555556,0.0
17,2020-01-28,108.35,109.2,108.11,108.38,6984607.0,PG,17,0.3995290069653379,109.43394515249106,103.93049929195338,70.98248971396532,104.18926597448188,7.133437259960125,106.68222222222222,106.68222222222222,0.0
